Domain_code,Domain,Area_code,Area,Element _code,Element,Crop _code,Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,114,Kenya,5312,Area harvested,393,Cauliflowers and broccoli,2018,2018,ha,341,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,393,Cauliflowers and broccoli,2019,2019,ha,628,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,393,Cauliflowers and broccoli,2016,2016,hg/ha,142576,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,393,Cauliflowers and broccoli,2017,2017,hg/ha,166680,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,393,Cauliflowers and broccoli,2018,2018,hg/ha,170762,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,393,Cauliflowers and broccoli,2019,2019,hg/ha,170064,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,393,Cauliflowers and broccoli,2016,2016,tonnes,941,,Official data
QC,Crops,114,Kenya,5510,Production,393,Cauliflowers and broccoli,2017,2017,tonnes,4167,,Official data
QC,Crops,114,Kenya,5510,Production,393,Cauliflowers and broccoli,2018,2018,tonnes,5823,,Official data
QC,Crops,114,Kenya,5510,Production,393,Cauliflowers and broccoli,2019,2019,tonnes,10680,,Official data
QC,Crops,114,Kenya,5312,Area harvested,220,Chestnut,2016,2016,ha,,M,Data not available
QC,Crops,114,Kenya,5312,Area harvested,220,Chestnut,2017,2017,ha,,M,Data not available
QC,Crops,114,Kenya,5312,Area harvested,220,Chestnut,2018,2018,ha,,M,Data not available
QC,Crops,114,Kenya,5312,Area harvested,220,Chestnut,2019,2019,ha,,M,Data not available
QC,Crops,114,Kenya,5510,Production,220,Chestnut,2016,2016,tonnes,,M,Data not available
QC,Crops,114,Kenya,5510,Production,220,Chestnut,2017,2017,tonnes,,M,Data not available
QC,Crops,114,Kenya,5510,Production,220,Chestnut,2018,2018,tonnes,,M,Data not available
QC,Crops,114,Kenya,5510,Production,220,Chestnut,2019,2019,tonnes,,M,Data not available
QC,Crops,114,Kenya,5312,Area harvested,191,Chick peas,2016,2016,ha,3915,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,191,Chick peas,2017,2017,ha,3830,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,191,Chick peas,2018,2018,ha,3745,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,191,Chick peas,2019,2019,ha,3661,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,191,Chick peas,2016,2016,hg/ha,3538,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,191,Chick peas,2017,2017,hg/ha,3548,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,191,Chick peas,2018,2018,hg/ha,3559,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,191,Chick peas,2019,2019,hg/ha,3567,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,191,Chick peas,2016,2016,tonnes,1385,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,191,Chick peas,2017,2017,tonnes,1359,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,191,Chick peas,2018,2018,tonnes,1333,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5510,Production,191,Chick peas,2019,2019,tonnes,1306,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5312,Area harvested,689,"Chillies and peppers, dry",2016,2016,ha,2437,Im,FAO data based on imputation methodology
